,Date,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,DAYS_TO_MTY_TDY,DAYS_TO_NEXT_COUPON,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,VOLATILITY_360D,VOLATILITY_90D,VOLATILITY_30D
0,,A-,,,,A3,,1015.3048697312781,0.969261279127417,-0.3,-2.4151764465900594,-86.1021331609567,44.871794871794876,669.0,117.0,N,Sr Unsecured,FIXED,2.0,1.384071707725525,1.1987454891204834,1.0372763872146606
1,,A-,0.0,,0.0,A3,0.0,1015.3048697312781,0.969261279127417,-0.3,-2.4151764465900594,-86.1021331609567,44.871794871794876,669.0,117.0,N,Sr Unsecured,FIXED,2.0,1.384071707725525,1.1987454891204834,1.0372763872146606
2,,A-,0.0,,0.0,A3,0.0,1015.3048697312781,0.969261279127417,-0.3,-2.4151764465900594,-86.1021331609567,44.871794871794876,669.0,117.0,N,Sr Unsecured,FIXED,2.0,1.384071707725525,1.1987454891204834,1.0372763872146606
3,,A-,0.0,,0.0,A3,0.0,1015.3048697312781,0.969261279127417,-0.3,-2.4151764465900594,-86.1021331609567,44.871794871794876,669.0,117.0,N,Sr Unsecured,FIXED,2.0,1.384071707725525,1.1987454891204834,1.0372763872146606
4,,A-,0.0,,0.0,A3,0.0,1015.3048697312781,0.969261279127417,-0.3,-2.4151764465900594,-86.1021331609567,44.871794871794876,669.0,117.0,N,Sr Unsecured,FIXED,2.0,1.384071707725525,1.1987454891204834,1.0372763872146606
5,,A-,0.0,,0.0,A3,0.0,1015.3048697312781,0.969261279127417,-0.3,-2.4151764465900594,-86.1021331609567,44.871794871794876,669.0,117.0,N,Sr Unsecured,FIXED,2.0,1.384071707725525,1.1987454891204834,1.0372763872146606
6,,A-,0.0,,0.0,A3,0.0,1015.3048697312781,0.969261279127417,-0.3,-2.4151764465900594,-86.1021331609567,44.871794871794876,669.0,117.0,N,Sr Unsecured,FIXED,2.0,1.384071707725525,1.1987454891204834,1.0372763872146606
7,,A-,0.0,,0.0,A3,0.0,1015.3048697312781,0.969261279127417,-0.3,-2.4151764465900594,-86.1021331609567,44.871794871794876,669.0,117.0,N,Sr Unsecured,FIXED,2.0,1.384071707725525,1.1987454891204834,1.0372763872146606
8,,A-,0.0,,0.0,A3,0.0,1015.3048697312781,0.969261279127417,-0.3,-2.4151764465900594,-86.1021331609567,44.871794871794876,669.0,117.0,N,Sr Unsecured,FIXED,2.0,1.384071707725525,1.1987454891204834,1.0372763872146606
9,,A-,0.0,,0.0,A3,0.0,1015.3048697312781,0.969261279127417,-0.3,-2.4151764465900594,-86.1021331609567,44.871794871794876,669.0,117.0,N,Sr Unsecured,FIXED,2.0,1.384071707725525,1.1987454891204834,1.0372763872146606
