ticker,PMI,CPI,UNEMPLOYMENT,Spread,Commodity_Index,Libor,Interest_Rates,Philly_Fed
2015-05-27,51.8,-0.2,5.4,211.832,466.2,0.18535,0.25,9.7
2015-05-28,51.8,-0.2,5.4,213.038,467.06,0.184,0.25,9.7
2015-05-29,51.8,-0.2,5.4,211.638,466.93,0.184,0.25,9.7
2015-06-01,52.9,0.0,5.6,217.428,466.86,0.183,0.25,6.0
2015-06-02,52.9,0.0,5.6,225.227,467.32,0.1848,0.25,6.0
2015-06-03,52.9,0.0,5.6,234.893,466.18,0.185,0.25,6.0
2015-06-04,52.9,0.0,5.6,229.174,467.81,0.18405,0.25,6.0
2015-06-05,52.9,0.0,5.6,238.725,466.54,0.183,0.25,6.0
2015-06-08,52.9,0.0,5.6,236.718,470.03,0.1854,0.25,6.0
2015-06-09,52.9,0.0,5.6,242.317,470.17,0.1875,0.25,6.0
2015-06-10,52.9,0.0,5.6,246.351,471.34,0.18875,0.25,6.0
2015-06-11,52.9,0.0,5.6,236.196,468.9,0.1855,0.25,6.0
2015-06-12,52.9,0.0,5.6,237.836,468.6,0.18475,0.25,6.0
2015-06-15,52.9,0.0,5.6,234.57,465.47,0.18525,0.25,6.0
2015-06-16,52.9,0.0,5.6,229.915,465.91,0.185,0.25,6.0
2015-06-17,52.9,0.0,5.6,231.142,465.89,0.1875,0.25,6.0
2015-06-18,52.9,0.0,5.6,232.94,467.11,0.18675,0.25,6.0
2015-06-19,52.9,0.0,5.6,225.262,466.64,0.187,0.25,6.0
2015-06-22,52.9,0.0,5.6,236.739,466.29,0.187,0.25,6.0
2015-06-23,52.9,0.0,5.6,239.849,466.91,0.187,0.25,6.0
2015-06-24,52.9,0.0,5.6,236.208,466.82,0.1865,0.25,6.0
2015-06-25,52.9,0.0,5.6,240.371,466.24,0.186,0.25,6.0
2015-06-26,52.9,0.0,5.6,246.754,466.14,0.1866,0.25,6.0
2015-06-29,52.9,0.0,5.6,231.914,464.46,0.1866,0.25,6.0
2015-06-30,52.3,0.1,5.3,234.471,463.31,0.1865,0.25,8.2
2015-07-01,52.3,0.1,5.3,240.157,462.0,0.185,0.25,8.2
2015-07-02,52.3,0.1,5.3,237.72,457.3,0.18815,0.25,8.2
2015-07-03,52.3,0.1,5.3,237.72,457.3,0.1884,0.25,8.2
2015-07-06,52.3,0.1,5.3,227.156,455.5,0.1865,0.25,8.2
2015-07-07,52.3,0.1,5.3,224.293,452.75,0.1895,0.25,8.2
2015-07-08,52.3,0.1,5.3,217.696,452.9,0.1885,0.25,8.2
2015-07-09,52.3,0.1,5.3,230.584,453.68,0.1867,0.25,8.2
2015-07-10,52.3,0.1,5.3,238.888,452.84,0.186,0.25,8.2
2015-07-13,52.3,0.1,5.3,245.886,452.65,0.1873,0.25,8.2
2015-07-14,52.3,0.1,5.3,238.579,454.08,0.187,0.25,8.2
2015-07-15,52.3,0.1,5.3,233.689,453.55,0.186,0.25,8.2
2015-07-16,52.3,0.1,5.3,233.006,455.04,0.188,0.25,8.2
2015-07-17,52.3,0.1,5.3,232.661,450.89,0.1905,0.25,8.2
2015-07-20,52.3,0.1,5.3,234.697,452.17,0.189,0.25,8.2
2015-07-21,52.3,0.1,5.3,229.478,451.37,0.185,0.25,8.2
2015-07-22,52.3,0.1,5.3,228.794,449.71,0.187,0.25,8.2
2015-07-23,52.3,0.1,5.3,223.209,448.21,0.1905,0.25,8.2
2015-07-24,52.3,0.1,5.3,222.68,447.2,0.189,0.25,8.2
2015-07-27,52.3,0.1,5.3,218.196,446.26,0.189,0.25,8.2
2015-07-28,52.3,0.1,5.3,219.903,448.78,0.1908,0.25,8.2
2015-07-29,52.3,0.1,5.3,222.999,449.13,0.18955,0.25,8.2
2015-07-30,52.3,0.1,5.3,218.774,448.64,0.1885,0.25,8.2
2015-07-31,51.8,0.2,5.2,211.399,448.52,0.19175,0.25,4.6
2015-08-03,51.8,0.2,5.2,207.68,447.88,0.1905,0.25,4.6
2015-08-04,51.8,0.2,5.2,213.997,447.71,0.19075,0.25,4.6
2015-08-05,51.8,0.2,5.2,219.367,446.16,0.1935,0.25,4.6
2015-08-06,51.8,0.2,5.2,218.07,445.89,0.1915,0.25,4.6
2015-08-07,51.8,0.2,5.2,209.62,441.72,0.19125,0.25,4.6
2015-08-10,51.8,0.2,5.2,215.568,442.05,0.19255,0.25,4.6
2015-08-11,51.8,0.2,5.2,203.44,441.33,0.19345,0.25,4.6
