date,Spread
2010-12-23,325.423
2010-12-24,325.83
2010-12-27,320.051
2010-12-28,333.844
2010-12-29,322.614
2010-12-30,325.402
2010-12-31,317.069
2011-01-03,320.955
2011-01-04,319.062
2011-01-05,332.741
2011-01-06,325.009
2011-01-07,318.566
2011-01-10,314.517
2011-01-11,319.138
2011-01-12,321.99
2011-01-13,315.412
2011-01-14,317.493
2011-01-17,318.093
2011-01-18,321.813
2011-01-19,318.068
2011-01-20,329.049
2011-01-21,325.097
2011-01-24,325.116
2011-01-25,317.512
2011-01-26,325.628
2011-01-27,324.423
2011-01-28,317.834
2011-01-31,322.227
2011-02-01,328.616
2011-02-02,332.39
2011-02-03,340.375
2011-02-04,348.754
2011-02-07,348.48
2011-02-08,358.917
2011-02-09,351.257
2011-02-10,358.385
2011-02-11,351.4
2011-02-14,350.665
2011-02-15,348.149
2011-02-16,350.967
2011-02-17,348.007
2011-02-18,348.747
2011-02-21,349.494
2011-02-22,334.87
2011-02-23,336.497
2011-02-24,332.788
2011-02-25,328.452
2011-02-28,328.909
2011-03-01,325.398
2011-03-02,334.476
2011-03-03,343.147
2011-03-04,337.62
2011-03-07,340.867
2011-03-08,344.009
2011-03-09,337.303
2011-03-10,328.824
2011-03-11,333.027
2011-03-14,327.902
2011-03-15,321.049
2011-03-16,308.26
2011-03-17,317.801
2011-03-18,320.066
2011-03-21,325.6
2011-03-22,323.684
2011-03-23,326.273
2011-03-24,332.642
2011-03-25,335.546
2011-03-28,334.899
2011-03-29,339.019
2011-03-30,334.297
2011-03-31,337.836
2011-04-01,338.32
2011-04-04,338.175
2011-04-05,341.288
2011-04-06,348.873
2011-04-07,350.899
2011-04-08,353.851
2011-04-11,354.86
2011-04-12,344.415
2011-04-13,340.717
2011-04-14,343.132
2011-04-15,334.639
2011-04-18,332.296
2011-04-19,330.921
2011-04-20,335.13
2011-04-21,334.496
2011-04-22,334.184
2011-04-25,331.637
2011-04-26,325.055
2011-04-27,330.379
2011-04-28,327.185
2011-04-29,324.756
2011-05-02,324.768
2011-05-03,322.382
2011-05-04,320.004
2011-05-05,313.902
2011-05-06,314.01
2011-05-09,315.462
2011-05-10,318.655
2011-05-11,314.197
2011-05-12,320.573
2011-05-13,314.6
2011-05-16,312.51
2011-05-17,307.871
2011-05-18,314.047
2011-05-19,312.873
2011-05-20,310.043
2011-05-23,308.136
2011-05-24,306.16
2011-05-25,308.318
2011-05-26,300.994
2011-05-27,302.883
2011-05-30,302.883
2011-05-31,301.348
2011-06-01,289.849
2011-06-02,299.245
2011-06-03,295.377
2011-06-06,297.044
2011-06-07,295.77
2011-06-08,290.397
2011-06-09,295.945
2011-06-10,292.698
2011-06-13,294.402
2011-06-14,304.979
2011-06-15,292.177
2011-06-16,289.272
2011-06-17,291.488
2011-06-20,293.608
2011-06-21,296.158
2011-06-22,296.824
2011-06-23,290.495
2011-06-24,285.435
2011-06-27,291.617
2011-06-28,300.629
2011-06-29,308.729
2011-06-30,314.564
2011-07-01,316.546
2011-07-04,316.546
2011-07-05,312.193
2011-07-06,310.133
2011-07-07,311.574
2011-07-08,300.231
