,Date,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,DAYS_TO_MTY_TDY,DAYS_TO_NEXT_COUPON,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,VOLATILITY_360D,VOLATILITY_90D,VOLATILITY_30D
0,,BB,,BB-,,,,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
1,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
2,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
3,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
4,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
5,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
6,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
7,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
8,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
9,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
10,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
11,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
12,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
13,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
14,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
15,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
16,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
17,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
18,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
19,,BB,0.0,BB-,0.0,,0.0,87.38049319261445,1.724874969927467,-0.027772,1.4004431733676443,3.2588019186838317,4.971184492986615,1262.0,162.0,Y,Sr Unsecured,FIXED,2.0,4.561867713928223,2.702282190322876,3.2988741397857666
