,Date,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,DAYS_TO_MTY_TDY,DAYS_TO_NEXT_COUPON,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,VOLATILITY_360D,VOLATILITY_90D,VOLATILITY_30D,"('QJ596534@BMRK Corp', 'PX_LAST')"
0,,BB,,,,Ba1,,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
1,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
2,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
3,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
4,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
5,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
6,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
7,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
8,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
9,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
10,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
11,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
12,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
13,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
14,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
15,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
16,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
17,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
18,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
19,,BB,0.0,,0.0,Ba1,0.0,813.8198221750685,2.6762296782451576,,1.6702534535804308,17.247128993348753,87.25831799056648,441.0,71.0,N,Sr Unsecured,FIXED,2.0,2.013557195663452,2.1102561950683594,1.6483330726623535,
