,Date,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,DAYS_TO_MTY_TDY,DAYS_TO_NEXT_COUPON,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,VOLATILITY_360D,VOLATILITY_90D,VOLATILITY_30D
0,,,,,,A2,,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
1,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
2,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
3,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
4,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
5,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
6,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
7,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
8,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
9,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
10,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
11,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
12,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
13,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
14,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.31,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
15,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
16,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
17,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
18,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
19,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
20,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
21,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
22,,,0.0,,0.0,A2,0.0,121.29405221829661,,3.1523809523809523,1.7931043389217767,14.372528238666401,,914.0,179.0,N,Sr Unsecured,FIXED,2.0,1.9587725400924683,1.9624699354171753,2.433720827102661
