ticker,EK882203@BMRK Corp
field,PX_LAST
date,
2015-09-03,98.124
2015-09-04,98.345
2015-09-08,98.133
2015-09-09,98.169
2015-09-10,98.118
2015-09-11,98.345
2015-09-14,98.389
2015-09-15,98.007
2015-09-16,98.024
2015-09-17,98.636
2015-09-18,98.984
2015-09-21,97.915
2015-09-22,95.906
2015-09-23,96.112
2015-09-24,96.189
2015-09-25,96.188
2015-09-28,94.735
2015-09-29,94.983
2015-09-30,95.017
2015-10-01,94.277
2015-10-02,94.629
2015-10-05,94.29
2015-10-06,95.278
2015-10-07,96.799
2015-10-08,96.657
2015-10-09,96.702
2015-10-13,97.819
2015-10-14,98.226
2015-10-15,97.866
2015-10-16,98.019
2015-10-19,98.15
2015-10-20,99.32
2015-10-21,100.449
2015-10-22,100.437
2015-10-23,100.401
2015-10-26,100.551
2015-10-27,100.544
2015-10-28,100.428
2015-10-29,100.128
2015-10-30,100.319
2015-11-02,100.271
2015-11-03,100.177
2015-11-04,100.415
2015-11-05,100.361
2015-11-06,99.126
2015-11-09,99.12
2015-11-10,98.541
2015-11-12,97.801
2015-11-13,98.111
2015-11-16,97.111
2015-11-17,97.265
2015-11-18,97.668
2015-11-19,97.869
2015-11-20,97.838
2015-11-23,98.242
2015-11-24,98.156
2015-11-25,98.232
2015-11-27,98.35
2015-11-30,98.258
2015-12-01,98.507
2015-12-02,98.39
2015-12-03,99.084
2015-12-04,99.199
2015-12-07,98.992
2015-12-08,98.846
2015-12-09,98.454
2015-12-10,98.033
2015-12-11,97.499
2015-12-14,94.827
2015-12-15,96.239
2015-12-16,96.863
2015-12-17,97.346
2015-12-18,97.203
2015-12-21,97.193
2015-12-22,97.262
2015-12-23,97.557
2015-12-24,97.678
2015-12-28,97.644
2015-12-29,97.218
2015-12-30,97.716
2015-12-31,97.698
2016-01-04,97.836
2016-01-05,98.0
2016-01-06,97.873
2016-01-07,97.675
2016-01-08,97.465
2016-01-11,96.947
2016-01-12,97.227
2016-01-13,97.116
2016-01-14,95.861
2016-01-15,94.791
2016-01-19,94.374
2016-01-20,93.462
2016-01-21,93.374
2016-01-22,93.969
2016-01-25,94.171
2016-01-26,95.33
2016-01-27,96.626
2016-01-28,96.682
2016-01-29,97.051
2016-02-01,96.699
2016-02-02,96.203
2016-02-03,95.615
2016-02-04,95.789
2016-02-05,95.746
2016-02-08,94.344
2016-02-09,93.937
2016-02-10,94.322
2016-02-11,93.249
2016-02-12,93.445
2016-02-16,94.294
2016-02-17,97.807
2016-02-18,98.476
2016-02-19,98.238
2016-02-22,98.155
2016-02-23,98.236
2016-02-24,97.95
2016-02-25,98.106
2016-02-26,97.818
2016-02-29,98.403
2016-03-01,100.825
2016-03-02,101.983
2016-03-03,101.634
2016-03-04,101.437
2016-03-07,101.353
2016-03-08,101.321
2016-03-09,101.076
2016-03-10,101.691
2016-03-11,102.239
2016-03-14,102.554
2016-03-15,102.119
2016-03-16,102.049
2016-03-17,102.211
2016-03-18,102.908
2016-03-21,102.619
2016-03-22,102.573
2016-03-23,102.817
2016-03-24,102.451
2016-03-28,101.903
2016-03-29,101.626
2016-03-30,101.818
2016-03-31,102.012
2016-04-01,101.89
2016-04-04,102.147
2016-04-05,102.118
2016-04-06,102.955
2016-04-07,103.084
2016-04-08,102.89
2016-04-11,102.472
2016-04-12,102.375
2016-04-13,102.864
2016-04-14,103.547
2016-04-15,103.928
2016-04-18,103.831
2016-04-19,103.82
2016-04-20,103.641
2016-04-21,103.336
2016-04-22,103.237
2016-04-25,103.108
2016-04-26,103.044
2016-04-27,103.154
2016-04-28,103.328
2016-04-29,102.73
2016-05-02,102.44
2016-05-03,102.502
2016-05-04,102.2
2016-05-05,102.405
2016-05-06,102.156
2016-05-09,102.027
2016-05-10,102.127
2016-05-11,102.527
2016-05-12,102.604
2016-05-13,102.98
2016-05-16,102.873
2016-05-17,102.779
2016-05-18,102.134
2016-05-19,101.915
2016-05-20,102.077
2016-05-23,101.978
2016-05-24,101.802
2016-05-25,101.833
2016-05-26,101.932
2016-05-27,101.573
2016-05-31,101.665
