date,BB_COMPOSITE,RTG_COMPOSITE_CHANGE,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,ISSUE_DT,MATURITY,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ
2016-08-01,BB,,BB,,BB,,,,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-02,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-03,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-04,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-05,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-06,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-07,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-08,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-09,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-10,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-11,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-12,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-13,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-14,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-15,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-16,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-17,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-18,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-19,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-20,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-21,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-22,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-23,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-24,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-25,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-26,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-27,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-28,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-29,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-30,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-08-31,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-09-01,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-09-02,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-09-03,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
2016-09-04,BB,0.0,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,2016-08-01,2021-08-02,Y,Sr Unsecured,FIXED,2
