date,BB_COMPOSITE,RTG_COMPOSITE_CHANGE,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,ISSUE_DT,MATURITY,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,PX_LAST
2017-02-07,BB+,0.0,BB+,0.0,,0.0,Ba1,0.0,53.84615384615385,2.2972972972972974,1.266,5.021398002853067,9.667673716012084,31.52777777777778,2015-04-10,2020-04-10,N,Sr Unsecured,FIXED,2,101.238
2017-02-08,BB+,0.0,BB+,0.0,,0.0,Ba1,0.0,53.84615384615385,2.2972972972972974,1.266,5.021398002853067,9.667673716012084,31.52777777777778,2015-04-10,2020-04-10,N,Sr Unsecured,FIXED,2,101.36
2017-02-09,BB+,0.0,BB+,0.0,,0.0,Ba1,0.0,53.84615384615385,2.2972972972972974,1.266,5.021398002853067,9.667673716012084,31.52777777777778,2015-04-10,2020-04-10,N,Sr Unsecured,FIXED,2,101.235
2017-02-10,BB+,0.0,BB+,0.0,,0.0,Ba1,0.0,53.84615384615385,2.2972972972972974,1.266,5.021398002853067,9.667673716012084,31.52777777777778,2015-04-10,2020-04-10,N,Sr Unsecured,FIXED,2,101.221
2017-02-13,BB+,0.0,BB+,0.0,,0.0,Ba1,0.0,53.84615384615385,2.2972972972972974,1.266,5.021398002853067,9.667673716012084,31.52777777777778,2015-04-10,2020-04-10,N,Sr Unsecured,FIXED,2,101.395
2017-02-14,BB+,0.0,BB+,0.0,,0.0,Ba1,0.0,53.84615384615385,2.2972972972972974,1.266,5.021398002853067,9.667673716012084,31.52777777777778,2015-04-10,2020-04-10,N,Sr Unsecured,FIXED,2,101.353
2017-02-15,BB+,0.0,BB+,0.0,,0.0,Ba1,0.0,53.84615384615385,2.2972972972972974,1.266,5.021398002853067,9.667673716012084,31.52777777777778,2015-04-10,2020-04-10,N,Sr Unsecured,FIXED,2,101.344
2017-02-16,BB+,0.0,BB+,0.0,,0.0,Ba1,0.0,53.84615384615385,2.2972972972972974,1.266,5.021398002853067,9.667673716012084,31.52777777777778,2015-04-10,2020-04-10,N,Sr Unsecured,FIXED,2,101.428
2017-02-17,BB+,0.0,BB+,0.0,,0.0,Ba1,0.0,53.84615384615385,2.2972972972972974,1.266,5.021398002853067,9.667673716012084,31.52777777777778,2015-04-10,2020-04-10,N,Sr Unsecured,FIXED,2,101.457
2017-02-21,BB+,0.0,BB+,0.0,,0.0,Ba1,0.0,53.84615384615385,2.2972972972972974,1.266,5.021398002853067,9.667673716012084,31.52777777777778,2015-04-10,2020-04-10,N,Sr Unsecured,FIXED,2,101.405
