date,BB_COMPOSITE,RTG_COMPOSITE_CHANGE,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,ISSUE_DT,MATURITY,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,PX_LAST
2018-05-04,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.157
2018-05-07,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,100.097
2018-05-08,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.612
2018-05-09,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.417
2018-05-10,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.418
2018-05-11,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.465
2018-05-14,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.342
2018-05-15,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.21
2018-05-16,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.225
2018-05-17,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.247
2018-05-18,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.126
2018-05-21,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.268
2018-05-22,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.097
2018-05-23,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.111
2018-05-24,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.137
2018-05-25,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.275
2018-05-29,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,99.221
2018-05-30,,0.0,,0.0,,0.0,,0.0,489.51572484651047,1.1799389631911863,33.908,1.887180994170599,14.623837700760777,1.1905817812106227,2018-03-19,2023-03-19,N,Sr Unsecured,FIXED,1,98.791
